ΚΩΔ.,ΡΑΦΙ,ΤΕΜ .,ΚΑΛΛΙΤΕΧΝΗΣ,ΤΙΤΛΟΣ
BB 1122,H22,1,Bjorn Baar ,Café Brasil 
BB 1123,H22,1,Bjorn Baar ,Espresso
BB 1124,H22,1,Bjorn Baar ,Tazza Di Café
BB 1128,H1,11,Bjorn Baar , Have A Break 
BB 1129,H1,10,Bjorn Baar ,Have A Good Time 
BB 1131,H22,1,Bjorn Baar ,Olio Di Olivia Belletini 
BB 1133,H22,1,Bjorn Baar ,Pasta Italiana 
BB 1134,Q17,1,Bjorn Baar , Buon Appetito 
BB 1135,Q17,1,Bjorn Baar ,Cucina Italiana 
BB 1136,Q17,1,Bjorn Baar ,Ristorante Del Pennello 
BB 1159,Q17,1,Bjorn Baar , Teatime 
BB 1160,Q17,1,Bjorn Baar ,A Gift For Mam 
BB 1161,Q17,1,Bjorn Baar ,From The Asia Shop 
BB 1162,Q17,1,Bjorn Baar , Just A Minute 
BB 1163,H22,1,Bjorn Baar ,In Bavarian 
