reference,quantity,image_url
3026-053,198,https://pg-plaisio.gr/img/p/1/8/6/1/4/18614.jpg
3128-061,200,https://pg-plaisio.gr/img/p/2/5/2/3/7/25237.jpg
3128-520,200,https://pg-plaisio.gr/img/p/2/5/2/4/3/25243.jpg
3131-530,100,https://pg-plaisio.gr/img/p/2/5/2/3/4/25234.jpg
3131-536,100,https://pg-plaisio.gr/img/p/2/5/2/2/8/25228.jpg
320-050,196,https://pg-plaisio.gr/img/p/1/8/7/0/7/18707.jpg
320-100,199,https://pg-plaisio.gr/img/p/1/8/7/0/4/18704.jpg
320-141,197,https://pg-plaisio.gr/img/p/1/8/7/0/1/18701.jpg
320-582,179,https://pg-plaisio.gr/img/p/1/8/6/9/8/18698.jpg
321-050,198,https://pg-plaisio.gr/img/p/1/8/6/9/5/18695.jpg
321-100,199,https://pg-plaisio.gr/img/p/1/8/6/9/2/18692.jpg
321-141,200,https://pg-plaisio.gr/img/p/1/8/6/8/9/18689.jpg
3215-03,199,https://pg-plaisio.gr/img/p/4/3/5/1//4351.jpg
3215-07,196,https://pg-plaisio.gr/img/p/4/3/4/8//4348.jpg
3215-28,197,https://pg-plaisio.gr/img/p/4/3/4/5//4345.jpg
3215-80,199,https://pg-plaisio.gr/img/p/4/3/4/2//4342.jpg
3215-81,200,https://pg-plaisio.gr/img/p/4/3/3/9//4339.jpg
3215-82,198,https://pg-plaisio.gr/img/p/4/3/3/6//4336.jpg
321-582,200,https://pg-plaisio.gr/img/p/1/8/6/8/6/18686.jpg
3222-01,194,https://pg-plaisio.gr/img/p/2/0/2/0/0/20200.jpg
3222-02,194,https://pg-plaisio.gr/img/p/2/0/1/9/4/20194.jpg
3222-06,192,https://pg-plaisio.gr/img/p/2/0/1/8/8/20188.jpg
3222-08,195,https://pg-plaisio.gr/img/p/2/0/1/8/2/20182.jpg
3222-09,190,https://pg-plaisio.gr/img/p/2/0/1/7/6/20176.jpg
3222-23,189,https://pg-plaisio.gr/img/p/2/0/1/7/0/20170.jpg
3222-95,197,https://pg-plaisio.gr/img/p/2/0/1/6/4/20164.jpg
3224-1,0,https://pg-plaisio.gr/img/p/1/8/6/0/5/18605.jpg
