reference,legend,image_url,quantity
1AU6207,Anne Munson - Soul II,https://pg-plaisio.gr/img/p/2/3/4/3/5/23435.jpg,0
1BA3423,Leonardo Bacci - Memoires de l'eté,https://pg-plaisio.gr/img/p/1/3/8/1/5/13815.jpg,0
1BA3424,Leonardo Bacci - Memoires de mer,https://pg-plaisio.gr/img/p/1/3/8/1/1/13811.jpg,0
1BA3474,Leonardo Bacci - Smooth Sailing I,https://pg-plaisio.gr/img/p/1/3/8/0/7/13807.jpg,0
1BA3941,Leonardo Bacci - Glam Slam I,https://pg-plaisio.gr/img/p/1/0/3/3/4/10334.jpg,0
1BA3942,Leonardo Bacci - Glam Slam II,https://pg-plaisio.gr/img/p/1/0/3/3/0/10330.jpg,0
1BA4576,Leonardo Bacci - Early Morning on the Enchanted Lagoon I,https://pg-plaisio.gr/img/p/5/1/9/6//5196.jpg,0
1BA4577,Leonardo Bacci - Early Morning on the Enchanted Lagoon II,https://pg-plaisio.gr/img/p/5/2/0/0//5200.jpg,0
1BA4578,Leonardo Bacci - Moon Rising from the Crimson Sky I,https://pg-plaisio.gr/img/p/5/2/0/4//5204.jpg,0
1BA4579,Leonardo Bacci - Moon Rising from the Crimson Sky II,https://pg-plaisio.gr/img/p/5/2/0/8//5208.jpg,0
1BA5268,Leonardo Bacci - Samba,https://pg-plaisio.gr/img/p/1/9/9/4/0/19940.jpg,0
1BA5269,Leonardo Bacci - Pa tì,https://pg-plaisio.gr/img/p/1/9/9/3/6/19936.jpg,0
1BA6181,Leonardo Bacci - Memphis Blues I,https://pg-plaisio.gr/img/p/2/3/6/2/4/23624.jpg,130
1BA6182,Leonardo Bacci - Memphis Blues II,https://pg-plaisio.gr/img/p/2/3/6/2/0/23620.jpg,130
1BA6742,Leonardo Bacci - Punk Pop I,https://pg-plaisio.gr/img/p/2/9/8/1/3/29813.jpg,0
1BA6743,Leonardo Bacci - Punk Pop II,https://pg-plaisio.gr/img/p/2/9/8/0/9/29809.jpg,0
1BF2816,Bob Ferri - Caprice I,https://pg-plaisio.gr/img/p/1/3/8/0/3/13803.jpg,0
1BF2817,Bob Ferri - Caprice II,https://pg-plaisio.gr/img/p/1/3/7/9/9/13799.jpg,0
1BF2818,Bob Ferri - Caprice III,https://pg-plaisio.gr/img/p/1/3/7/9/5/13795.jpg,0
1BF3463,Bob Ferri - Waves crashing in the summer sky I,https://pg-plaisio.gr/img/p/1/3/7/9/1/13791.jpg,0
1BF3464,Bob Ferri - Waves crashing in the summer sky II,https://pg-plaisio.gr/img/p/1/3/7/8/7/13787.jpg,0
1BN1281,Pierre Benson - Le Grand Salon I (detail),https://pg-plaisio.gr/img/p/1/3/7/8/3/13783.jpg,0
1BN1282,Pierre Benson - Le Grand Salon II (detail),https://pg-plaisio.gr/img/p/1/3/7/7/9/13779.jpg,0
1BN2574,Pierre Benson - Kissing in Paris (detail),https://pg-plaisio.gr/img/p/1/3/7/7/5/13775.jpg,0
1BN2581,Pierre Benson - Kissing on Brooklyn Bridge,https://pg-plaisio.gr/img/p/1/3/7/7/1/13771.jpg,0
1BN2841,Pierre Benson - Rehearsing Ballerina,https://pg-plaisio.gr/img/p/1/3/7/6/7/13767.jpg,0
1BN2842,Pierre Benson - Preparing for dance,https://pg-plaisio.gr/img/p/1/3/7/6/3/13763.jpg,0
1BN3818,Pierre Benson - Petit Fleuriste I,https://pg-plaisio.gr/img/p/1/0/3/2/6/10326.jpg,0
1BN3819,Pierre Benson - Petit Fleuriste II,https://pg-plaisio.gr/img/p/1/0/3/2/2/10322.jpg,0
1BR3893,Ted Broome - Collection of Memories I,https://pg-plaisio.gr/img/p/1/0/3/1/8/10318.jpg,0
1BR3894,Ted Broome - Collection of Memories II,https://pg-plaisio.gr/img/p/1/0/3/1/4/10314.jpg,0
